,Name,Wins,Losses,Draws,Stance,Reach (inches),Weight (pounds),Height (inches),Significant Strikes Landed per Minute,Significant Striking Accuracy,Significant Strikes Absorbed per Minute,Significant Strike Defence (the percentage of opponents strikes that did not land),Average Takedowns Landed per 15 minutes,Takedown Accuracy,Takedown Defense (the percentage of opponents TD attempts that did not land),Average Submissions Attempted per 15 minutes
538,Yuneisy Duben,6,0,0,Orthodox,65.0,125.0,64.0,20.55,0.64,11.51,0.41,0.0,0.0,0.0,0.0
539,Matthieu Duclos,6,3,0,Orthodox,77.0,185.0,75.0,3.93,0.37,6.81,0.46,0.0,0.0,1.0,0.0
540,Emily Ducote,13,9,0,Orthodox,63.0,115.0,62.0,7.45,0.52,7.84,0.57,0.2,0.14,0.94,0.0
541,Viktoriia Dudakova,8,1,0,Orthodox,67.0,115.0,65.0,3.45,0.48,3.77,0.49,2.63,0.36,0.5,0.0
542,Todd Duffee,9,3,0,Orthodox,78.0,260.0,75.0,5.93,0.37,2.87,0.56,0.72,0.25,0.9,0.0
543,Joe Duffy,16,5,0,Orthodox,73.0,155.0,70.0,2.68,0.34,3.78,0.54,0.96,0.66,0.64,0.7
544,Jack Duffy,7,1,0,Switch,69.0,125.0,67.0,5.07,0.69,2.13,0.52,0.0,0.0,0.62,0.0
545,Jessamyn Duke,3,5,0,Orthodox,73.0,135.0,71.0,4.83,0.53,4.43,0.57,1.27,0.36,0.5,1.9
546,Islam Dulatov,11,1,0,Orthodox,75.0,170.0,75.0,14.27,0.56,5.49,0.51,5.49,1.0,0.0,0.0
547,Isaac Dulgarian,7,1,0,Orthodox,71.0,145.0,67.0,3.37,0.64,1.82,0.41,5.15,0.52,0.0,2.1
548,Sedriques Dumas,10,2,0,Orthodox,79.0,185.0,74.0,2.15,0.48,2.03,0.58,1.31,0.35,0.4,0.3
549,Norma Dumont,12,2,0,Orthodox,67.0,135.0,67.0,3.86,0.5,2.16,0.65,1.72,0.56,0.72,0.0
550,Chris Duncan,12,2,0,Orthodox,71.0,155.0,70.0,4.7,0.46,4.0,0.48,3.53,0.37,0.33,0.3
551,Christian Leroy Duncan,10,2,0,Switch,79.0,185.0,74.0,4.71,0.62,3.57,0.49,0.31,0.14,0.64,0.0
552,Evan Dunham,18,9,1,Southpaw,70.0,155.0,70.0,5.33,0.39,3.54,0.61,1.82,0.33,0.79,1.0
553,Tom Duquesnoy,16,2,0,Orthodox,68.0,135.0,67.0,3.83,0.45,5.3,0.62,0.42,0.25,0.46,0.0
554,Albert Duraev,16,5,0,Orthodox,75.0,185.0,71.0,2.99,0.4,3.01,0.59,1.97,0.29,0.66,0.6
555,Reuben Duran,11,7,1,Orthodox,71.0,135.0,67.0,3.19,0.49,2.61,0.5,0.98,0.23,0.25,0.7
556,Cody Durden,17,7,1,Southpaw,67.0,125.0,67.0,3.52,0.45,4.29,0.49,4.06,0.47,0.73,0.8
557,Merab Dvalishvili,18,4,0,Orthodox,68.0,135.0,66.0,4.35,0.42,2.31,0.56,6.09,0.36,0.8,0.3
558,David Dvorak,20,6,0,Orthodox,68.0,125.0,65.0,3.48,0.43,3.29,0.59,0.58,0.3,0.7,0.2
559,Matt Dwyer,9,4,0,Orthodox,76.0,170.0,76.0,2.57,0.34,3.24,0.54,0.44,0.1,0.6,0.0
560,Rolando Dy,9,7,1,Orthodox,69.0,145.0,68.0,3.04,0.37,4.47,0.52,0.3,0.2,0.68,0.0
561,Marvin Eastman,18,15,1,Orthodox,73.0,185.0,69.0,2.21,0.35,3.92,0.42,1.38,0.33,0.81,0.0
562,Mike Easton,13,6,0,Southpaw,70.0,135.0,66.0,3.51,0.37,4.28,0.61,0.75,0.22,0.66,0.0
563,Brian Ebersole,51,18,1,Southpaw,73.0,170.0,72.0,2.32,0.49,2.14,0.56,1.7,0.23,0.61,0.1
564,Roybert Echeverria,7,1,0,Switch,67.0,125.0,65.0,2.95,0.53,2.52,0.57,0.0,0.0,0.71,2.6
565,Mark Eddiva,6,3,0,Orthodox,68.0,145.0,68.0,3.37,0.45,2.98,0.54,1.45,0.22,0.63,0.0
566,Frankie Edgar,23,11,1,Orthodox,68.0,135.0,66.0,3.77,0.4,2.82,0.65,2.29,0.31,0.65,0.3
567,Johnny Eduardo,28,13,0,Orthodox,71.0,135.0,67.0,2.95,0.39,3.22,0.63,0.22,0.2,0.58,0.4
568,Yves Edwards,42,22,1,Southpaw,73.0,155.0,69.0,2.91,0.42,2.34,0.66,0.76,0.53,0.69,0.7
569,Justin Edwards,9,5,0,Orthodox,70.0,155.0,70.0,2.68,0.42,3.32,0.51,2.14,0.26,0.27,1.0
570,Leon Edwards,22,4,0,Southpaw,74.0,170.0,74.0,2.68,0.53,2.37,0.53,1.25,0.36,0.65,0.4
571,Te Edwards,6,3,0,Orthodox,72.0,155.0,68.0,1.5,0.41,4.15,0.44,0.72,1.0,0.44,0.0
572,Joselyne Edwards,14,6,0,Orthodox,70.0,135.0,68.0,4.48,0.52,3.19,0.49,1.23,0.39,0.61,0.6
573,Stephanie Egger,8,5,0,Orthodox,68.0,135.0,66.0,2.2,0.46,2.48,0.52,2.48,0.42,0.5,0.6
574,Per Eklund,14,5,1,Orthodox,72.0,155.0,70.0,2.07,0.61,2.38,0.67,2.07,0.11,0.5,3.6
575,Evan Elder,9,2,0,Switch,72.0,155.0,70.0,5.02,0.49,4.79,0.57,0.63,0.2,0.33,0.6
576,Joao Elias,17,4,1,Southpaw,64.0,125.0,63.0,0.4,0.5,6.47,0.2,0.0,0.0,0.5,0.0
577,Darren Elkins,29,11,0,Orthodox,71.0,145.0,70.0,3.4,0.38,3.22,0.51,2.86,0.34,0.56,1.1
578,Jake Ellenberger,31,15,0,Orthodox,71.0,170.0,69.0,2.47,0.39,2.83,0.6,2.04,0.47,0.86,0.4
579,Joe Ellenberger,15,2,0,Orthodox,72.0,155.0,69.0,1.62,0.47,3.45,0.48,3.17,0.4,0.0,1.1
580,Tim Elliott,21,13,1,Southpaw,66.0,125.0,67.0,3.39,0.44,2.66,0.56,3.73,0.47,0.59,1.0
581,Oban Elliott,12,2,0,Orthodox,72.0,170.0,72.0,4.26,0.49,2.25,0.62,2.16,0.5,0.72,0.0
582,Cameron Else,10,6,0,Switch,71.0,135.0,69.0,1.99,0.4,8.09,0.51,0.0,0.0,0.0,0.0
583,Ramazan Emeev,20,6,0,Southpaw,76.0,170.0,70.0,2.53,0.45,2.14,0.65,2.37,0.29,0.66,0.7
584,Fedor Emelianenko,36,5,0,Orthodox,74.0,230.0,72.0,3.18,0.51,1.0,0.63,2.0,0.63,0.82,1.9
585,Rob Emerson,18,12,0,Orthodox,70.0,155.0,69.0,2.5,0.3,2.83,0.64,2.02,0.52,0.65,0.4
586,Jamall Emmers,20,8,0,Orthodox,74.0,145.0,70.0,5.3,0.48,4.05,0.57,1.83,0.4,0.9,0.2
587,Josh Emmett,19,4,0,Orthodox,70.0,145.0,66.0,4.04,0.36,4.61,0.61,0.91,0.37,0.46,0.1
588,Kolton Englund,9,4,0,Orthodox,69.0,155.0,70.0,2.31,0.25,11.54,0.4,0.0,0.0,0.0,0.0
589,Oliver Enkamp,7,2,0,Switch,77.0,170.0,72.0,2.38,0.36,3.55,0.37,0.87,0.16,0.0,0.0
590,Andy Enz,10,4,0,Orthodox,78.0,185.0,75.0,3.51,0.23,5.32,0.57,0.0,0.0,0.58,0.0
591,Abdellah Er-Ramy,7,2,0,Orthodox,74.0,185.0,72.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0
592,Steve Erceg,12,3,0,Orthodox,68.0,125.0,68.0,4.37,0.48,4.22,0.53,1.16,0.26,0.6,0.5
593,Julian Erosa,30,12,0,Southpaw,74.0,145.0,73.0,6.18,0.48,6.31,0.48,1.69,0.48,0.58,0.8
594,Jarno Errens,14,6,1,Orthodox,73.0,145.0,71.0,3.29,0.44,3.29,0.61,0.0,0.0,0.33,0.3
595,Ivan Erslan,14,4,0,Orthodox,72.0,205.0,74.0,2.6,0.56,3.0,0.62,1.0,0.5,0.75,0.0
596,Cole Escovedo,17,9,0,Orthodox,72.0,135.0,67.0,1.77,0.43,4.32,0.49,0.43,0.33,0.13,0.0
597,Efrain Escudero,28,12,0,Orthodox,71.0,155.0,69.0,2.92,0.44,2.3,0.63,1.31,0.4,0.66,0.8
598,Carla Esparza,20,8,0,Orthodox,63.0,115.0,61.0,2.19,0.39,2.87,0.54,3.28,0.36,0.47,0.3
599,Juan Espino,11,2,0,Orthodox,80.0,255.0,75.0,2.38,0.7,1.95,0.4,8.93,0.78,0.5,2.4
600,Jordan Espinosa,15,9,0,Orthodox,69.0,125.0,66.0,4.22,0.52,2.94,0.57,0.75,0.28,0.7,0.2
601,Jodie Esquibel,6,6,0,Orthodox,64.0,115.0,61.0,4.1,0.31,7.37,0.52,0.75,0.21,0.83,0.0
602,Rafael Estevam,12,0,0,Orthodox,69.0,125.0,68.0,2.94,0.64,3.35,0.34,3.35,0.19,0.0,0.7
603,Achilles Estremadura,7,1,0,Orthodox,68.0,155.0,70.0,3.2,0.43,3.27,0.7,0.0,0.0,0.0,0.0
604,Shaun Etchell,7,3,0,Switch,68.0,125.0,67.0,0.0,0.0,0.0,0.0,4.37,1.0,1.0,0.0
605,Terry Etim,16,5,0,Orthodox,73.0,155.0,73.0,2.16,0.35,2.53,0.67,0.43,0.3,0.39,1.4
606,Sijara Eubanks,8,7,0,Orthodox,67.0,125.0,64.0,4.3,0.43,3.43,0.57,1.9,0.44,0.66,0.3
607,Billy Evangelista,13,3,0,Orthodox,68.0,155.0,68.0,4.51,0.4,3.96,0.61,1.6,0.19,0.61,0.2
608,Rashad Evans,19,8,1,Orthodox,75.0,205.0,72.0,2.14,0.37,2.42,0.63,2.98,0.44,0.73,0.0
609,Ashlee Evans-Smith,6,6,0,Orthodox,67.0,135.0,68.0,4.03,0.34,4.59,0.53,0.95,0.22,0.5,0.0
610,Tonya Evinger,19,8,0,Orthodox,70.0,135.0,67.0,1.16,0.42,4.02,0.38,0.93,0.3,0.33,0.9
611,Movsar Evloev,19,0,0,Orthodox,72.0,145.0,67.0,3.99,0.48,2.66,0.6,4.67,0.48,0.61,0.2
612,Andre Ewell,17,9,0,Southpaw,75.0,145.0,68.0,4.28,0.4,4.87,0.51,0.36,0.75,0.72,0.1
613,Jessica Eye,15,11,0,Orthodox,66.0,125.0,66.0,3.86,0.37,4.19,0.55,0.58,0.4,0.57,0.5
614,Urijah Faber,35,11,0,Orthodox,67.0,135.0,66.0,2.65,0.4,2.59,0.64,1.54,0.3,0.58,0.8
615,Melinda Fabian,4,4,2,Orthodox,66.0,125.0,66.0,4.03,0.41,4.0,0.62,0.0,0.0,1.0,0.0
616,Wagnney Fabiano,16,4,0,Southpaw,69.0,145.0,66.0,1.19,0.38,0.66,0.7,3.44,0.64,1.0,0.4
617,Bartosz Fabinski,15,5,0,Orthodox,75.0,170.0,72.0,2.23,0.68,1.46,0.51,7.1,0.7,0.8,0.0
618,Zarah Fairn,6,6,0,Orthodox,72.0,135.0,68.0,4.55,0.31,7.4,0.45,0.0,0.0,0.6,0.0
619,Rinat Fakhretdinov,23,1,1,Orthodox,74.0,170.0,72.0,4.78,0.52,3.58,0.53,3.95,0.34,0.91,0.2
620,Pedro Falcao,16,4,0,Orthodox,66.0,135.0,66.0,2.9,0.48,2.63,0.48,2.07,0.22,0.83,0.0
621,Jair Farias,10,1,0,Orthodox,76.0,145.0,73.0,3.8,0.39,5.33,0.51,0.0,0.0,0.41,0.0
622,Rico Farrington,7,3,0,Southpaw,79.0,170.0,76.0,6.33,0.41,7.2,0.51,0.0,0.0,0.2,0.0
623,Paul Felder,17,6,0,Orthodox,70.0,155.0,71.0,3.7,0.44,3.44,0.48,0.29,0.28,0.64,0.2
624,Carlos Felipe,11,2,0,Orthodox,75.0,245.0,72.0,4.88,0.45,5.6,0.5,0.0,0.0,0.72,0.0
625,Feng Xiaocan,10,3,0,Southpaw,66.0,115.0,67.0,5.43,0.5,1.76,0.73,1.08,1.0,0.66,0.0
626,Kevin Ferguson,5,2,0,Orthodox,77.0,235.0,74.0,2.3,0.5,3.41,0.38,3.1,0.72,0.36,1.2
627,Tony Ferguson,26,11,0,Orthodox,76.0,170.0,71.0,4.91,0.45,4.37,0.55,0.39,0.35,0.66,0.9
628,Gabriella Fernandes,10,3,0,Southpaw,66.0,125.0,66.0,3.46,0.46,5.5,0.49,0.56,0.18,0.6,0.3
629,Kaue Fernandes,9,2,0,Orthodox,73.0,155.0,69.0,3.04,0.57,0.86,0.66,0.76,1.0,0.62,0.0
630,Lucas Fernando,9,2,0,,80.0,185.0,75.0,1.87,0.51,4.73,0.38,3.0,0.3,0.0,1.0
631,Cezar Ferreira,13,8,0,Southpaw,78.0,185.0,73.0,1.9,0.42,2.44,0.53,2.69,0.53,0.84,0.5
632,Diego Ferreira,19,5,0,Orthodox,74.0,155.0,69.0,5.04,0.39,3.43,0.56,0.96,0.3,0.6,0.6
633,Erisson Ferreira,12,2,0,Orthodox,70.0,125.0,66.0,1.75,0.32,2.75,0.56,1.11,1.0,0.66,1.7
634,Brunno Ferreira,12,2,0,Orthodox,72.0,185.0,70.0,3.76,0.5,3.12,0.52,0.5,0.16,0.53,0.5
635,Timo Feucht,8,1,0,Orthodox,79.0,205.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
636,Andre Fialho,16,8,0,Orthodox,74.0,170.0,72.0,3.3,0.41,6.26,0.45,0.25,1.0,0.66,0.0
637,Drew Fickett,42,21,0,Orthodox,70.0,155.0,70.0,2.33,0.41,2.29,0.57,1.3,0.35,0.3,2.2
638,Michal Figlak,8,2,0,Orthodox,70.0,155.0,70.0,4.0,0.39,4.93,0.52,0.5,0.12,0.57,0.0
639,Deiveson Figueiredo,24,4,1,Orthodox,68.0,135.0,65.0,2.91,0.54,3.55,0.49,1.62,0.34,0.6,1.4
640,Francisco Figueiredo,13,5,1,Southpaw,68.0,125.0,66.0,2.04,0.61,2.59,0.61,2.51,0.75,0.76,0.4
641,Edwin Figueroa,9,5,0,Orthodox,69.0,135.0,67.0,2.57,0.39,3.06,0.51,0.2,1.0,0.37,0.6
642,Jafel Filho,16,3,0,Orthodox,68.0,125.0,67.0,2.36,0.41,2.0,0.47,1.77,0.33,0.55,2.6
643,Andre Fili,24,11,0,Orthodox,74.0,145.0,71.0,3.88,0.37,4.11,0.51,2.15,0.43,0.7,0.2
644,Mirko Filipovic,35,11,2,Southpaw,73.0,230.0,74.0,2.11,0.5,1.89,0.63,0.19,0.4,0.78,0.3
645,Torrez Finney,10,0,0,Orthodox,75.0,185.0,68.0,2.6,0.7,1.86,0.5,10.04,0.69,0.0,1.7
646,Luigi Fioravanti,26,15,0,Orthodox,70.0,170.0,68.0,2.23,0.42,2.21,0.69,3.76,0.63,0.67,0.9
647,Nick Fiore,6,2,0,Orthodox,72.0,155.0,70.0,2.83,0.46,7.93,0.42,2.5,0.45,0.71,0.0
648,Manon Fiorot,12,1,0,Orthodox,65.0,125.0,67.0,6.26,0.41,3.77,0.68,1.17,0.42,0.93,0.0
649,Spencer Fisher,24,9,0,Southpaw,68.0,155.0,67.0,3.17,0.43,3.03,0.64,0.67,0.3,0.6,0.8
650,Chris Fishgold,18,4,1,Orthodox,68.0,145.0,68.0,2.01,0.32,2.7,0.46,2.59,0.46,0.44,1.3
651,Jon Fitch,30,7,1,Orthodox,74.0,170.0,72.0,2.61,0.5,1.65,0.54,3.6,0.51,0.56,0.8
652,Rafael Fiziev,12,3,0,Switch,71.0,155.0,68.0,4.9,0.51,4.97,0.49,0.29,0.4,0.89,0.0
653,AJ Fletcher,10,3,0,Switch,67.0,170.0,70.0,3.36,0.49,4.61,0.46,1.54,0.35,0.33,0.9
654,Nathan Fletcher,9,1,0,Orthodox,70.0,145.0,67.0,2.25,0.7,0.96,0.4,9.63,0.66,0.0,2.4
655,Jimmy Flick,17,8,0,Orthodox,68.0,125.0,67.0,1.94,0.5,5.43,0.43,1.55,0.21,0.0,4.3
656,Luke Flores,9,2,0,Southpaw,73.0,155.0,72.0,1.56,0.44,1.88,0.6,0.0,0.0,0.4,1.2
657,Ty Flores,7,3,0,Switch,73.0,205.0,75.0,2.0,0.37,7.8,0.25,1.0,0.09,0.0,0.0
658,Alejandro Flores,17,3,0,Orthodox,73.0,145.0,70.0,3.66,0.4,2.02,0.54,0.0,0.0,0.0,0.0
659,Kenny Florian,14,6,0,Southpaw,74.0,145.0,70.0,2.41,0.4,1.85,0.63,2.22,0.33,0.6,1.3
660,Darrius Flowers,12,8,1,Orthodox,71.0,155.0,69.0,3.07,0.49,5.49,0.44,0.98,0.28,0.63,0.0
661,Caros Fodor,11,6,0,Orthodox,74.0,155.0,69.0,2.76,0.54,2.83,0.54,2.1,0.25,0.5,0.0
662,Rob Font,21,8,0,Orthodox,71.0,135.0,68.0,5.44,0.45,3.58,0.57,0.84,0.34,0.44,0.3
663,Jesse Forbes,15,5,0,Southpaw,75.0,185.0,74.0,2.11,0.24,4.06,0.53,1.79,0.75,0.66,1.2
664,Raheam Forest,7,2,0,Switch,73.0,170.0,71.0,5.32,0.38,12.15,0.42,0.0,0.0,0.0,0.0
665,Jussier Formiga,23,8,0,Orthodox,67.0,125.0,65.0,1.42,0.39,2.34,0.64,1.82,0.35,0.87,0.6
666,Renee Forte,8,4,0,Orthodox,71.0,155.0,67.0,2.08,0.32,2.12,0.63,2.32,0.58,0.66,0.0
667,Brianna Fortino,9,3,0,Southpaw,62.0,115.0,60.0,3.53,0.41,3.23,0.57,2.5,0.45,0.66,0.0
668,Marcel Fortuna,9,3,0,Orthodox,74.0,205.0,73.0,3.83,0.46,4.52,0.64,0.45,0.08,0.75,0.5
669,Brian Foster,27,10,0,Orthodox,71.0,170.0,69.0,3.3,0.39,1.63,0.65,3.67,0.6,0.37,1.8
670,Hermes Franca,24,17,0,Orthodox,71.0,155.0,66.0,1.78,0.39,2.85,0.55,1.53,0.36,0.37,2.4
671,Glaico Franca Moreira,15,5,0,Orthodox,77.0,155.0,72.0,2.35,0.42,3.46,0.47,2.68,0.42,0.76,0.3
672,John Franchi,6,2,0,Orthodox,67.0,145.0,66.0,1.83,0.48,2.59,0.48,2.68,0.8,0.4,0.3
673,Rich Franklin,29,7,0,Southpaw,76.0,185.0,73.0,4.1,0.44,2.07,0.62,1.31,0.66,0.63,0.7
674,Xavier Franklin,5,1,0,Southpaw,66.0,135.0,66.0,3.07,0.33,5.27,0.5,0.0,0.0,1.0,0.0
675,Stephanie Frausto,8,7,0,Orthodox,61.0,115.0,62.0,1.43,0.21,3.57,0.6,0.0,0.0,0.0,0.0
676,Justin Frazier,10,3,0,Southpaw,75.0,265.0,72.0,1.11,0.66,6.11,0.04,0.0,0.0,0.0,0.0
677,Patricio Freire,26,4,0,,65.0,145.0,65.0,2.84,0.41,4.43,0.6,0.6,0.18,0.94,0.6
678,Patricky Freire,17,8,0,,71.0,155.0,67.0,3.06,0.44,3.34,0.69,1.26,0.33,1.0,0.0
679,Josh Fremd,11,6,0,Orthodox,76.0,185.0,76.0,2.52,0.44,2.23,0.47,0.66,0.25,0.3,1.1
680,Matt Frevola,11,5,1,Orthodox,71.0,155.0,69.0,3.37,0.4,3.69,0.57,2.39,0.39,0.36,1.0
681,Jinh Yu Frey,11,10,0,Southpaw,65.0,115.0,63.0,2.97,0.43,4.23,0.52,1.02,0.36,0.9,0.3
682,Sarah Frota,9,2,0,Southpaw,69.0,125.0,66.0,4.52,0.52,2.57,0.55,0.0,0.0,0.53,0.0
683,Daniel Frunza,9,2,0,Orthodox,73.0,170.0,73.0,4.94,0.44,5.53,0.51,0.0,0.0,0.6,0.0
684,Adam Fugitt,10,4,0,Southpaw,77.0,170.0,73.0,4.72,0.45,4.48,0.51,2.04,0.29,0.5,0.0
685,Riki Fukuda,24,9,0,Southpaw,73.0,185.0,72.0,4.24,0.43,3.71,0.64,2.17,0.43,0.7,0.0
686,Masio Fullen,11,7,0,Orthodox,70.0,145.0,70.0,2.46,0.32,3.5,0.54,0.47,0.33,0.69,0.0
687,Ricardo Funch,9,6,0,Southpaw,74.0,170.0,70.0,2.61,0.65,3.57,0.4,1.24,0.18,0.6,0.0
688,Claudia Gadelha,18,5,0,Orthodox,63.0,115.0,64.0,3.31,0.41,4.57,0.57,3.03,0.42,0.58,0.7
689,Magomed Gadzhiyasulov,9,0,0,Orthodox,75.0,205.0,74.0,3.3,0.5,1.37,0.67,5.5,0.91,0.57,0.0
690,Justin Gaethje,25,5,0,Orthodox,70.0,155.0,71.0,6.78,0.59,7.46,0.52,0.11,0.25,0.75,0.0
691,Muin Gafurov,19,6,0,Southpaw,68.0,135.0,67.0,3.03,0.47,2.25,0.5,1.95,0.27,0.68,0.0
692,Mitch Gagnon,12,5,0,Southpaw,65.0,135.0,65.0,2.76,0.46,2.21,0.61,1.16,0.25,0.65,1.9
693,Mickey Gall,7,7,0,Switch,74.0,170.0,74.0,3.5,0.49,4.72,0.49,1.15,0.32,0.37,1.6
694,Manvel Gamburyan,15,10,0,Orthodox,67.0,135.0,65.0,2.13,0.41,2.83,0.55,3.26,0.34,0.69,0.7
695,Mateusz Gamrot,24,3,0,Southpaw,70.0,155.0,70.0,3.23,0.5,3.22,0.58,5.25,0.35,0.9,0.1
696,Shamil Gamzatov,14,1,0,Orthodox,76.0,205.0,74.0,5.35,0.48,3.46,0.51,0.0,0.0,0.5,0.0
697,Ciryl Gane,13,2,0,Orthodox,81.0,245.0,76.0,5.26,0.61,2.23,0.61,0.7,0.25,0.43,0.6
698,Eduardo Garagorri,13,2,0,Orthodox,70.0,145.0,69.0,3.42,0.51,2.36,0.58,0.48,1.0,0.61,0.0
699,Cody Garbrandt,14,6,0,Orthodox,65.0,135.0,68.0,2.98,0.4,3.76,0.6,1.03,0.34,0.8,0.0
700,Leonard Garcia,18,13,1,Orthodox,68.0,145.0,70.0,2.77,0.24,4.79,0.52,0.3,0.26,0.42,0.5
701,Edgar Garcia,14,5,0,Orthodox,71.0,170.0,70.0,3.16,0.29,4.23,0.6,2.21,0.57,0.5,0.6
702,Alex Garcia,15,6,0,Orthodox,72.0,170.0,69.0,1.81,0.31,3.03,0.59,3.72,0.52,0.66,0.1
703,Steve Garcia,17,5,0,Southpaw,75.0,145.0,72.0,5.04,0.56,2.34,0.46,1.17,0.4,0.88,0.6
704,Elias Garcia,6,2,0,Southpaw,67.0,125.0,65.0,1.59,0.27,5.05,0.5,0.68,0.14,0.33,1.4
705,Rafa Garcia,16,4,0,Orthodox,70.0,155.0,67.0,3.97,0.42,4.36,0.61,3.38,0.44,0.75,0.3
706,Fernie Garcia,10,5,0,Orthodox,67.0,135.0,67.0,2.04,0.34,3.79,0.48,0.28,0.5,0.5,0.6
707,Pablo Garza,12,4,0,Orthodox,73.0,145.0,73.0,3.37,0.44,2.7,0.5,0.94,0.25,0.15,1.3
708,Kelvin Gastelum,19,9,0,Southpaw,71.0,170.0,69.0,3.74,0.42,3.48,0.57,1.1,0.34,0.59,0.1
709,Willie Gates,12,7,0,Orthodox,72.0,125.0,68.0,1.8,0.38,4.28,0.38,0.0,0.0,0.67,0.4
710,Melissa Gatto,9,2,2,Orthodox,69.0,135.0,65.0,3.78,0.49,2.84,0.54,1.47,0.28,0.63,0.5
711,Sean Gauci,10,1,0,Switch,64.0,125.0,65.0,5.07,0.59,5.8,0.68,4.0,0.44,1.0,0.0
712,Louis Gaudinot,8,4,0,Orthodox,63.0,125.0,63.0,2.34,0.37,6.42,0.48,0.57,0.4,0.31,1.1
713,Ateba Gautier,6,1,0,Switch,81.0,185.0,76.0,5.33,0.71,1.22,0.56,0.0,0.0,0.9,0.0
714,Shamil Gaziev,13,1,0,Orthodox,78.0,265.0,76.0,2.43,0.49,3.72,0.44,1.03,0.3,1.0,0.3
715,Chad George,16,8,0,Southpaw,68.0,135.0,66.0,1.26,0.5,1.11,0.65,3.08,0.46,0.0,1.3
716,Karine Gevorgyan,3,3,0,,63.0,125.0,64.0,1.2,0.2,1.8,0.76,0.0,0.0,0.0,0.0
717,Yanis Ghemmouri,12,3,0,Orthodox,69.0,135.0,69.0,2.29,0.38,5.14,0.35,0.0,0.0,0.0,0.0
718,Christos Giagos,20,12,0,Orthodox,71.0,155.0,70.0,3.03,0.41,3.21,0.5,2.84,0.36,0.52,0.4
719,Joe Giannetti,6,1,0,Southpaw,74.0,155.0,72.0,1.93,0.38,2.8,0.4,1.0,0.16,0.0,0.0
720,Cody Gibson,22,10,0,Orthodox,71.0,135.0,70.0,3.47,0.44,3.36,0.57,2.18,0.4,0.68,0.7
721,Chase Gibson,9,5,0,Orthodox,72.0,155.0,70.0,3.13,0.54,6.4,0.52,0.0,0.0,0.0,0.0
722,Thomas Gifford,14,9,0,Orthodox,75.0,155.0,73.0,3.97,0.37,6.45,0.37,0.5,0.33,0.33,0.0
723,Trevin Giles,16,7,0,Orthodox,74.0,170.0,72.0,3.17,0.54,2.39,0.58,1.07,0.5,0.72,0.3
724,Gregor Gillespie,14,1,0,Orthodox,71.0,155.0,67.0,3.74,0.52,2.3,0.57,6.86,0.48,1.0,0.8
725,Micheal Gillmore,6,5,0,Orthodox,72.0,170.0,71.0,2.04,0.57,3.02,0.43,0.0,0.0,0.5,0.0
726,Eperaim Ginting,6,1,0,Orthodox,64.0,135.0,64.0,0.0,0.0,0.0,1.0,15.52,1.0,0.0,0.0
727,Ricky Glenn,22,9,2,Southpaw,70.0,170.0,72.0,3.79,0.42,4.3,0.51,0.72,0.13,0.69,0.4
728,Mark Godbeer,13,4,0,Orthodox,77.0,240.0,76.0,3.97,0.53,3.3,0.54,0.0,0.0,0.28,0.0
729,Loopy Godinez,12,5,0,Orthodox,61.0,115.0,62.0,4.16,0.48,3.69,0.63,2.95,0.47,0.81,1.0
730,Billy Ray Goff,9,3,0,Switch,72.0,170.0,70.0,8.56,0.46,5.71,0.59,2.01,0.17,1.0,0.0
731,Amiran Gogoladze,14,3,0,Switch,74.0,170.0,73.0,1.64,0.66,0.82,0.0,0.0,0.0,0.0,0.0
732,Hannah Goldy,6,4,0,Orthodox,61.0,115.0,64.0,5.19,0.47,4.67,0.5,0.66,0.12,0.54,0.2
733,Marcelo Golm,6,3,0,Orthodox,75.0,249.0,75.0,4.27,0.58,4.3,0.45,0.45,0.5,0.87,0.5
734,Denise Gomes,10,3,0,Orthodox,63.0,115.0,62.0,4.55,0.5,3.11,0.51,0.72,0.25,0.67,0.9
735,Frank Gomez,10,6,0,Orthodox,67.0,135.0,70.0,1.52,0.48,0.79,0.66,1.14,0.6,0.7,0.8
736,Joey Gomez,6,2,0,Orthodox,73.0,135.0,70.0,2.44,0.28,4.46,0.55,0.62,1.0,0.5,0.0
737,Luis Gomez,4,1,0,Orthodox,68.0,145.0,67.0,1.57,0.33,4.03,0.55,4.48,0.5,0.33,0.0
738,Joey Gomez,7,1,0,Orthodox,71.0,155.0,70.0,3.73,0.49,3.33,0.5,2.0,0.28,0.0,0.0
739,Edson Gomez,6,2,0,Switch,69.0,170.0,68.0,2.66,0.32,8.78,0.45,0.0,0.0,0.0,0.0
740,Silvana Gomez Juarez,11,5,0,Orthodox,65.0,115.0,63.0,4.26,0.32,4.04,0.61,0.0,0.0,0.3,0.0
741,Takanori Gomi,35,14,0,Southpaw,70.0,155.0,67.0,3.81,0.41,3.52,0.6,1.23,0.65,0.63,0.8
742,William Gomis,14,2,0,Southpaw,73.0,145.0,72.0,2.69,0.5,1.6,0.71,0.78,0.37,0.7,0.5
743,Akihiro Gono,35,21,8,Switch,68.0,170.0,67.0,2.18,0.48,2.67,0.63,1.01,0.84,0.46,0.5
744,Gabriel Gonzaga,17,11,0,Orthodox,76.0,242.0,74.0,2.12,0.45,2.94,0.57,2.8,0.39,0.66,1.1
